CodMunic	NomeMunic	Regiao	CodUF	SiglaUF	Populacao	FuncADMD	Maternidade	Emergencia	mater	emerg	materemerg	sqrtPop	estrato
210043	Alto Alegre do Maranhão	2	21	MA	24969	982	Não	Não	0	0	0	158.015821992609	3
312360	Elói Mendes	3	31	MG	25472	655	Não	Sim	0	1	0	159.59949874608	3
313270	Itambacuri	3	31	MG	22820	915	Sim	Sim	1	1	1	151.062900806254	3
220580	Luzilândia	2	22	PI	24774	1429	Não	Sim	0	1	0	157.397585750227	3
291160	Governador Mangabeira	2	29	BA	19873	911	Não	Sim	0	1	0	140.97162835124	3
231160	Redenção	2	23	CE	26540	1037	Sim	Sim	1	1	1	162.911018657425	3
316040	Santo Antônio do Monte	3	31	MG	26168	888	Sim	Sim	1	1	1	161.76526203113	3
320470	São Gabriel da Palha	3	32	ES	32264	983	Não	Sim	0	1	0	179.621824954542	3
260030	Agrestina	2	26	PE	22882	1186	Sim	Sim	1	1	1	151.267974138613	3
292640	Riacho de Santana	2	29	BA	30840	1192	Não	Sim	0	1	0	175.613211348122	3
291310	Ibititá	2	29	BA	17801	973	Não	Sim	0	1	0	133.420388247074	3
410425	Campo Magro	4	41	PR	25184	810	Não	Sim	0	1	0	158.694675399019	3
130040	Barcelos	1	13	AM	25835	1152	Não	Sim	0	1	0	160.732697358067	3
320080	Baixo Guandu	3	32	ES	29178	1556	Sim	Não	1	0	0	170.815690145841	3
353790	Pilar do Sul	3	35	SP	26595	849	Sim	Sim	1	1	1	163.079735099123	3
210290	Carutapera	2	21	MA	22266	1247	Não	Não	0	0	0	149.217961385351	3
261400	Serrita	2	26	PE	18369	1072	Sim	Sim	1	1	1	135.532283976918	3
293220	Ubaitaba	2	29	BA	20449	1204	Não	Sim	0	1	0	143	3
250060	Alhandra	2	25	PB	18168	1051	Sim	Não	1	0	0	134.788723563954	3
240420	Goianinha	2	24	RN	22851	1311	Sim	Sim	1	1	1	151.165472248129	3
210440	Gonçalves Dias	2	21	MA	17514	632	Não	Sim	0	1	0	132.340470000677	3
260530	Exu	2	26	PE	31576	1539	Sim	Sim	1	1	1	177.696370249929	3
